CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
238496188,19,MANHATTAN,1/1/22,2:55:00,1/1/22,3:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,105,FELONY,(null),ROBBERY,(null),PATROL BORO MAN NORTH,366,"ROBBERY,BICYCLE",BRIDGE,1/1/22,(null),18-24,BLACK,M,,25-44,ASIAN / PACIFIC ISLANDER,M,994276,218779,40.76717714,-73.96380658,"(40.76717714, -73.96380658)",POINT (-73.96380658 40.76717714)
239658472,5,MANHATTAN,1/1/22,11:00:00,1/20/22,11:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO MAN SOUTH,343,"LARCENY,PETIT OF BICYCLE",RESIDENCE - APT. HOUSE,1/25/22,(null),UNKNOWN,UNKNOWN,U,,65+,WHITE,M,985124,202686,40.723003,-73.996844,"(40.723003, -73.996844)",POINT (-73.996844 40.723003)
238578411,70,BROOKLYN,1/1/22,19:30:00,1/1/22,20:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO BKLYN SOUTH,343,"LARCENY,PETIT OF BICYCLE",RESIDENCE - APT. HOUSE,1/2/22,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,997142,162817,40.613563,-73.953565,"(40.613563, -73.953565)",POINT (-73.953565 40.613563)
238527009,112,QUEENS,1/1/22,19:15:00,1/1/22,19:28:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,(null),PATROL BORO QUEENS NORTH,343,"LARCENY,PETIT OF BICYCLE",RESIDENCE - APT. HOUSE,1/1/22,(null),UNKNOWN,BLACK,M,,25-44,BLACK HISPANIC,M,1026182,202950,40.723629,-73.84872,"(40.723629, -73.84872)",POINT (-73.84872 40.723629)
238535151,75,BROOKLYN,1/1/22,16:54:00,1/1/22,17:20:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,(null),PATROL BORO BKLYN NORTH,343,"LARCENY,PETIT OF BICYCLE",STREET,1/1/22,(null),UNKNOWN,UNKNOWN,U,,25-44,BLACK,M,1021240,186597,40.678768,-73.866637,"(40.678768, -73.866637)",POINT (-73.866637 40.678768)
238526710,9,MANHATTAN,1/1/22,14:00:00,1/1/22,14:05:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,443,"LARCENY,GRAND OF BICYCLE",RESIDENCE - APT. HOUSE,1/1/22,(null),UNKNOWN,WHITE,M,,UNKNOWN,UNKNOWN,D,989155,202896,40.72358,-73.982303,"(40.72358, -73.982303)",POINT (-73.982303 40.72358)
238573376,18,MANHATTAN,1/1/22,0:00:00,1/3/22,14:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,443,"LARCENY,GRAND OF BICYCLE",STREET,1/3/22,(null),UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,988036,216885,40.761975,-73.986333,"(40.761975, -73.986333)",POINT (-73.986333 40.761975)
238540407,72,BROOKLYN,1/1/22,18:30:00,1/2/22,7:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,443,"LARCENY,GRAND OF BICYCLE",RESIDENCE - APT. HOUSE,1/2/22,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,988697,179135,40.658362,-73.98397,"(40.658362, -73.98397)",POINT (-73.98397 40.658362)
240507930,77,BROOKLYN,1/2/22,11:30:00,2/11/22,11:45:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,(null),PATROL BORO BKLYN NORTH,343,"LARCENY,PETIT OF BICYCLE",RESIDENCE - APT. HOUSE,2/12/22,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,M,996935,183402,40.670066,-73.95427,"(40.670066, -73.95427)",POINT (-73.95427 40.670066)
238558235,114,QUEENS,1/2/22,1:00:00,1/2/22,17:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,(null),PATROL BORO QUEENS NORTH,343,"LARCENY,PETIT OF BICYCLE",STREET,1/2/22,(null),UNKNOWN,UNKNOWN,U,,25-44,UNKNOWN,M,1006443,214411,40.755158,-73.919895,"(40.755158, -73.919895)",POINT (-73.919895 40.755158)
